film,year,sag_nominee_CAST IN A MOTION PICTURE,sag_nominee_LEADING ROLE - FEMALE,sag_nominee_SUPPORTING ROLE - FEMALE,sag_nominee_LEADING ROLE - MALE,sag_nominee_MALE SUPPORT IN A MOTION PICTURE ,sag_nominee_SUPPORTING ROLE - MALE,sag_winner_CAST IN A MOTION PICTURE,sag_winner_LEADING ROLE - FEMALE,sag_winner_SUPPORTING ROLE - FEMALE,sag_winner_LEADING ROLE - MALE,sag_winner_MALE SUPPORT IN A MOTION PICTURE ,sag_winner_SUPPORTING ROLE - MALE,imdb_id
INGLOURIOUS BASTERDS,2010 - 16th Annual,1,0,1,0,0,0,1,0,0,0,0,0,0361748
INTO THE WILD,2008 - 14th Annual,1,0,1,1,0,0,0,0,0,0,0,0,0758758
INTO THE WOODS,2015 - 21st Annual,0,0,1,0,0,0,0,0,0,0,0,0,2180411
INVICTUS,2010 - 16th Annual,0,0,0,1,0,0,0,0,0,0,0,0,1057500
IRIS,2002 - 8th Annual,0,1,0,0,0,0,0,0,0,0,0,0,0280778
J. EDGAR,2012 - 18th Annual,0,0,0,1,0,0,0,0,0,0,0,0,1616195
JACKIE BROWN,1998 - 4th Annual,0,1,0,0,0,0,0,0,0,0,0,0,0119396
JERRY MAGUIRE,1997 - 3rd Annual,0,0,1,1,0,0,0,0,0,0,0,0,0116695
JULIE & JULIA,2010 - 16th Annual,0,1,0,0,0,0,0,0,0,0,0,0,1135503
JUNEBUG,2006 - 12th Annual,0,0,1,0,0,0,0,0,0,0,0,0,0418773
JUNO,2008 - 14th Annual,0,1,0,0,0,0,0,0,0,0,0,0,0467406
KINSEY,2005 - 11th Annual,0,0,1,0,0,0,0,0,0,0,0,0,0362269
L.A. CONFIDENTIAL,1998 - 4th Annual,1,0,1,0,0,0,0,0,1,0,0,0,0119488
LA VIE EN ROSE,2008 - 14th Annual,0,1,0,0,0,0,0,0,0,0,0,0,0136603
LADY BIRD,2018 - 24th Annual,1,0,0,0,0,0,0,0,0,0,0,0,4925292
LARS AND THE REAL GIRL,2008 - 14th Annual,0,0,0,1,0,0,0,0,0,0,0,0,0805564
LEAVING LAS VEGAS,1996 - 2nd Annual,0,1,0,1,0,0,0,0,0,1,0,0,0113627
LEE DANIELS' THE BUTLER,2014 - 20th Annual,1,0,1,1,0,0,0,0,0,0,0,0,3127376
LES MISÉRABLES,2013 - 19th Annual,1,0,1,1,0,0,0,0,1,0,0,0,1707386
LIFE AS A HOUSE,2002 - 8th Annual,0,0,0,1,0,0,0,0,0,0,0,0,0264796
LIFE IS BEAUTIFUL,1999 - 5th Annual,1,0,0,1,0,0,0,0,0,1,0,0,0118799
LINCOLN,2013 - 19th Annual,1,0,1,1,0,0,0,0,0,1,0,0,0443272
LITTLE CHILDREN,2007 - 13th Annual,0,1,0,0,0,0,0,0,0,0,0,0,0404203
LITTLE MISS SUNSHINE,2007 - 13th Annual,1,0,1,0,0,0,1,0,0,0,0,0,0449059
LITTLE VOICE,1999 - 5th Annual,1,1,1,0,0,0,0,0,0,0,0,0,0147004
LORD OF THE RINGS: THE FELLOWSHIP OF THE RING,2002 - 8th Annual,1,0,0,0,0,0,0,0,0,0,0,0,0120737
LORD OF THE RINGS: THE RETURN OF THE KING,2004 - 10th Annual,1,0,0,0,0,0,1,0,0,0,0,0,0167260
LORD OF THE RINGS: THE TWO TOWERS,2003 - 9th Annual,1,0,0,0,0,0,0,0,0,0,0,0,0167261
LOST IN TRANSLATION,2004 - 10th Annual,0,0,0,1,0,0,0,0,0,0,0,0,0335266
MAGNOLIA,2000 - 6th Annual,1,0,1,0,0,0,0,0,0,0,0,0,0175880
MAN ON THE MOON,2000 - 6th Annual,0,0,0,1,0,0,0,0,0,0,0,0,0125664
MANCHESTER BY THE SEA,2017 - 23rd Annual,1,0,0,0,0,0,0,0,0,0,0,0,4034228
MARIA FULL OF GRACE,2005 - 11th Annual,0,1,0,0,0,0,0,0,0,0,0,0,0390221
MARVIN'S ROOM,1997 - 3rd Annual,1,1,1,0,0,0,0,0,0,0,0,0,0116999
MARY POPPINS RETURNS,2019 - 25th Annual,0,1,0,0,0,0,0,0,0,0,0,0,5028340
MARY QUEEN OF SCOTS,2019 - 25th Annual,0,0,1,0,0,0,0,0,0,0,0,0,2328900
MEMOIRS OF A GEISHA,2006 - 12th Annual,0,1,0,0,0,0,0,0,0,0,0,0,0397535
MICHAEL CLAYTON,2008 - 14th Annual,0,0,1,1,0,0,0,0,0,0,0,0,0465538
MIDNIGHT IN PARIS,2012 - 18th Annual,1,0,0,0,0,0,0,0,0,0,0,0,1605783
MIGHTY APHRODITE,1996 - 2nd Annual,0,0,1,0,0,0,0,0,0,0,0,0,0113819
MILK,2009 - 15th Annual,1,0,0,1,0,0,0,0,0,1,0,0,1013753
MILLION DOLLAR BABY,2005 - 11th Annual,1,1,0,0,0,0,0,1,0,0,0,0,0405159
MONEYBALL,2012 - 18th Annual,0,0,0,1,0,0,0,0,0,0,0,0,1210166
MONSTER,2004 - 10th Annual,0,1,0,0,0,0,0,1,0,0,0,0,23736044
MONSTER'S BALL,2002 - 8th Annual,0,1,0,0,0,0,0,1,0,0,0,0,0285742
MOONLIGHT,2017 - 23rd Annual,1,0,0,0,0,0,0,0,0,0,0,0,4975722
MOULIN ROUGE,2002 - 8th Annual,1,0,0,0,0,0,0,0,0,0,0,0,0203009
MRS. BROWN,1998 - 4th Annual,0,1,0,0,0,0,0,0,0,0,0,0,0119280
MRS. HENDERSON PRESENTS,2006 - 12th Annual,0,1,0,0,0,0,0,0,0,0,0,0,0413015
MUDBOUND,2018 - 24th Annual,1,0,0,0,0,0,0,0,0,0,0,0,2396589
MUSIC OF THE HEART,2000 - 6th Annual,0,1,0,0,0,0,0,0,0,0,0,0,0166943
MY BIG FAT GREEK WEDDING,2003 - 9th Annual,1,0,0,0,0,0,0,0,0,0,0,0,21103300
MY WEEK WITH MARILYN,2012 - 18th Annual,0,1,0,0,0,0,0,0,0,0,0,0,1655420
MYSTIC RIVER,2004 - 10th Annual,1,0,0,1,0,0,0,0,0,0,0,0,0327056
NEBRASKA,2014 - 20th Annual,0,0,1,1,0,0,0,0,0,0,0,0,1821549
NELL,1995 - 1st Annual,0,1,0,0,0,0,0,1,0,0,0,0,0110638
NIGHTCRAWLER,2015 - 21st Annual,0,0,0,1,0,0,0,0,0,0,0,0,2872718
NINE,2010 - 16th Annual,1,0,1,0,0,0,0,0,0,0,0,0,16491414
NIXON,1996 - 2nd Annual,1,1,0,1,0,0,0,0,0,0,0,0,0113987
NO COUNTRY FOR OLD MEN,2008 - 14th Annual,1,0,0,0,0,0,1,0,0,0,0,0,0477348
NOBODY'S FOOL,1995 - 1st Annual,0,0,0,1,0,0,0,0,0,0,0,0,0110684
NORTH COUNTRY,2006 - 12th Annual,0,1,1,0,0,0,0,0,0,0,0,0,0395972
NOTES ON A SCANDAL,2007 - 13th Annual,0,1,1,0,0,0,0,0,0,0,0,0,0465551
ONE TRUE THING,1999 - 5th Annual,0,1,0,0,0,0,0,0,0,0,0,0,0120776
PHILOMENA,2014 - 20th Annual,0,1,0,0,0,0,0,0,0,0,0,0,2431286
PIECES OF APRIL,2004 - 10th Annual,0,0,1,0,0,0,0,0,0,0,0,0,0311648
PIRATES OF THE CARIBBEAN: THE CURSE OF THE BLACK PEARL,2004 - 10th Annual,0,0,0,1,0,0,0,0,0,1,0,0,0325980
PRECIOUS,2010 - 16th Annual,1,1,1,0,0,0,0,0,1,0,0,0,0929632
PRIMARY COLORS,1999 - 5th Annual,0,0,1,0,0,0,0,0,1,0,0,0,0119942
PULP FICTION,1995 - 1st Annual,0,0,1,1,0,0,0,0,0,0,0,0,0110912
PURSUIT OF HAPPYNESS,2007 - 13th Annual,0,0,0,1,0,0,0,0,0,0,0,0,0454921
QUILLS,2001 - 7th Annual,0,0,1,1,0,0,0,0,0,0,0,0,0180073
RABBIT HOLE,2011 - 17th Annual,0,1,0,0,0,0,0,0,0,0,0,0,5822112
RACHEL GETTING MARRIED,2009 - 15th Annual,0,1,0,0,0,0,0,0,0,0,0,0,1084950
RAY,2005 - 11th Annual,1,0,0,1,0,0,0,0,0,1,0,0,2249007
REQUIEM FOR A DREAM,2001 - 7th Annual,0,1,0,0,0,0,0,0,0,0,0,0,0180093
REVOLUTIONARY ROAD,2009 - 15th Annual,0,1,0,0,0,0,0,0,0,0,0,0,0959337
RUST AND BONE,2013 - 19th Annual,0,1,0,0,0,0,0,0,0,0,0,0,2053425
SAVING MR. BANKS,2014 - 20th Annual,0,1,0,0,0,0,0,0,0,0,0,0,2140373
SAVING PRIVATE RYAN,1999 - 5th Annual,1,0,0,1,0,0,0,0,0,0,0,0,0120815
SEABISCUIT,2004 - 10th Annual,1,0,0,0,0,0,0,0,0,0,0,0,0329575
SECRETS & LIES,1997 - 3rd Annual,0,1,0,0,0,0,0,0,0,0,0,0,0117589
SENSE AND SENSIBILITY,1996 - 2nd Annual,1,1,1,0,0,0,0,0,1,0,0,0,0114388
SHAKESPEARE IN LOVE,1999 - 5th Annual,1,1,1,1,0,0,1,1,0,0,0,0,0138097
SHE'S SO LOVELY,1998 - 4th Annual,0,1,0,0,0,0,0,0,0,0,0,0,0120112
SHINE,1997 - 3rd Annual,1,0,0,1,0,0,0,0,0,1,0,0,0117631
SIDEWAYS,2005 - 11th Annual,1,0,1,1,0,0,1,0,0,0,0,0,0375063
SILVER LININGS PLAYBOOK,2013 - 19th Annual,1,1,0,1,0,0,0,1,0,0,0,0,1045658
SLING BLADE,1997 - 3rd Annual,1,0,0,1,0,0,0,0,0,0,0,0,0117666
